Date,Close
1/2/18 16:00,172.26
1/3/18 16:00,172.23
1/4/18 16:00,173.03
1/5/18 16:00,175
1/8/18 16:00,174.35
1/9/18 16:00,174.33
1/10/18 16:00,174.29
1/11/18 16:00,175.28
1/12/18 16:00,177.09
1/16/18 16:00,176.19
1/17/18 16:00,179.1
1/18/18 16:00,179.26
1/19/18 16:00,178.46
1/22/18 16:00,177
1/23/18 16:00,177.04
1/24/18 16:00,174.22
1/25/18 16:00,171.11
1/26/18 16:00,171.51
1/29/18 16:00,167.96
1/30/18 16:00,166.97
1/31/18 16:00,167.43
2/1/18 16:00,167.78
2/2/18 16:00,160.5
2/5/18 16:00,156.49
2/6/18 16:00,163.03
2/7/18 16:00,159.54
2/8/18 16:00,155.15
2/9/18 16:00,156.41
2/12/18 16:00,162.71
2/13/18 16:00,164.34
2/14/18 16:00,167.37
2/15/18 16:00,172.99
2/16/18 16:00,172.43
2/20/18 16:00,171.85
2/21/18 16:00,171.07
2/22/18 16:00,172.5
2/23/18 16:00,175.5
2/26/18 16:00,178.97
2/27/18 16:00,178.39
2/28/18 16:00,178.12
3/1/18 16:00,175
3/2/18 16:00,176.21
3/5/18 16:00,176.82
3/6/18 16:00,176.67
3/7/18 16:00,175.03
3/8/18 16:00,176.94
3/9/18 16:00,179.98
3/12/18 16:00,181.72
3/13/18 16:00,179.97
3/14/18 16:00,178.44
3/15/18 16:00,178.65
3/16/18 16:00,178.02
3/19/18 16:00,175.3
3/20/18 16:00,175.24
3/21/18 16:00,171.27
3/22/18 16:00,168.85
3/23/18 16:00,164.94
3/26/18 16:00,172.77
3/27/18 16:00,168.34
3/28/18 16:00,166.48
3/29/18 16:00,167.78
4/2/18 16:00,166.68
4/3/18 16:00,168.39
4/4/18 16:00,171.61
4/5/18 16:00,172.8
4/6/18 16:00,168.38
4/9/18 16:00,170.05
4/10/18 16:00,173.25
4/11/18 16:00,172.44
4/12/18 16:00,174.14
4/13/18 16:00,174.73
4/16/18 16:00,175.82
4/17/18 16:00,178.24
4/18/18 16:00,177.84
4/19/18 16:00,172.8
4/20/18 16:00,165.72
4/23/18 16:00,165.24
4/24/18 16:00,162.94
4/25/18 16:00,163.65
4/26/18 16:00,164.22
4/27/18 16:00,162.32
4/30/18 16:00,165.26
5/1/18 16:00,169.1
5/2/18 16:00,176.57
5/3/18 16:00,176.89
5/4/18 16:00,183.83
5/7/18 16:00,185.16
5/8/18 16:00,186.05
5/9/18 16:00,187.36
5/10/18 16:00,190.04
5/11/18 16:00,188.59
5/14/18 16:00,188.15
5/15/18 16:00,186.44
5/16/18 16:00,188.18
5/17/18 16:00,186.99
5/18/18 16:00,186.31
5/21/18 16:00,187.63
5/22/18 16:00,187.16
5/23/18 16:00,188.36
5/24/18 16:00,188.15
5/25/18 16:00,188.58
5/29/18 16:00,187.9
5/30/18 16:00,187.5
5/31/18 16:00,186.87
6/1/18 16:00,190.24
6/4/18 16:00,191.83
6/5/18 16:00,193.31
6/6/18 16:00,193.98
6/7/18 16:00,193.46
6/8/18 16:00,191.7
6/11/18 16:00,191.23
6/12/18 16:00,192.28
6/13/18 16:00,190.7
6/14/18 16:00,190.8
6/15/18 16:00,188.84
6/18/18 16:00,188.74
6/19/18 16:00,185.69
6/20/18 16:00,186.5
6/21/18 16:00,185.46
6/22/18 16:00,184.92
6/25/18 16:00,182.17
6/26/18 16:00,184.43
6/27/18 16:00,184.16
6/28/18 16:00,185.5
6/29/18 16:00,185.11
7/2/18 16:00,187.18
7/3/18 13:00,183.92
7/5/18 16:00,185.4
7/6/18 16:00,187.97
7/9/18 16:00,190.58
7/10/18 16:00,190.35
7/11/18 16:00,187.88
7/12/18 16:00,191.03
7/13/18 16:00,191.33
7/16/18 16:00,190.91
7/17/18 16:00,191.45
7/18/18 16:00,190.4
7/19/18 16:00,191.88
7/20/18 16:00,191.44
7/23/18 16:00,191.44
7/24/18 16:00,193
7/25/18 16:00,194.82
7/26/18 16:00,194.21
7/27/18 16:00,190.98
7/30/18 16:00,189.91
7/31/18 16:00,190.29
8/1/18 16:00,201.5
8/2/18 16:00,207.39
8/3/18 16:00,207.99
8/6/18 16:00,209.07
8/7/18 16:00,207.11
8/8/18 16:00,207.25
8/9/18 16:00,208.88
8/10/18 16:00,207.53
8/13/18 16:00,208.87
8/14/18 16:00,209.75
8/15/18 16:00,210.24
8/16/18 16:00,213.32
8/17/18 16:00,217.58
8/20/18 16:00,215.46
8/21/18 16:00,215.04
8/22/18 16:00,215.05
8/23/18 16:00,215.49
8/24/18 16:00,216.16
8/27/18 16:00,217.94
8/28/18 16:00,219.7
8/29/18 16:00,222.98
8/30/18 16:00,225.03
8/31/18 16:00,227.63
9/4/18 16:00,228.36
9/5/18 16:00,226.87
9/6/18 16:00,223.1
9/7/18 16:00,221.3
9/10/18 16:00,218.33
9/11/18 16:00,223.85
9/12/18 16:00,221.07
9/13/18 16:00,226.41
9/14/18 16:00,223.84
9/17/18 16:00,217.88
9/18/18 16:00,218.24
9/19/18 16:00,218.37
9/20/18 16:00,220.03
9/21/18 16:00,217.66
9/24/18 16:00,220.79
9/25/18 16:00,222.19
9/26/18 16:00,220.42
9/27/18 16:00,224.95
9/28/18 16:00,225.74
10/1/18 16:00,227.26
10/2/18 16:00,229.28
10/3/18 16:00,232.07
10/4/18 16:00,227.99
10/5/18 16:00,224.29
10/8/18 16:00,223.77
10/9/18 16:00,226.87
10/10/18 16:00,216.36
10/11/18 16:00,214.45
10/12/18 16:00,222.11
10/15/18 16:00,217.36
10/16/18 16:00,222.15
10/17/18 16:00,221.19
10/18/18 16:00,216.02
10/19/18 16:00,219.31
10/22/18 16:00,220.65
10/23/18 16:00,222.73
10/24/18 16:00,215.09
10/25/18 16:00,219.8
